limiar,fp_gold_correto,fn_gold_incorreto,tp_gold_incorreto,tn_gold_correto,precisao,revocacao,taxa_alerta
0.1,0,98,1,101,1.0,0.0101,0.005
0.12,0,98,1,101,1.0,0.0101,0.005
0.14,0,98,1,101,1.0,0.0101,0.005
0.16,0,98,1,101,1.0,0.0101,0.005
0.18,0,98,1,101,1.0,0.0101,0.005
0.2,0,98,1,101,1.0,0.0101,0.005
0.22,0,98,1,101,1.0,0.0101,0.005
0.24,1,97,2,100,0.6667,0.0202,0.015
0.26,1,97,2,100,0.6667,0.0202,0.015
0.28,1,97,2,100,0.6667,0.0202,0.015
0.3,2,97,2,99,0.5,0.0202,0.02
0.32,2,97,2,99,0.5,0.0202,0.02
0.34,3,97,2,98,0.4,0.0202,0.025
0.36,3,96,3,98,0.5,0.0303,0.03
0.38,4,96,3,97,0.4286,0.0303,0.035
0.4,4,94,5,97,0.5556,0.0505,0.045
0.42,5,93,6,96,0.5455,0.0606,0.055
0.44,7,91,8,94,0.5333,0.0808,0.075
0.46,10,89,10,91,0.5,0.101,0.1
0.48,13,85,14,88,0.5185,0.1414,0.135
0.5,16,83,16,85,0.5,0.1616,0.16
